date,acwi
1996-05,28279.654593453004
1996-06,27947.803217436423
1996-07,26706.485717965224
1996-08,27089.933337634684
1996-09,27920.954479574164
1996-10,27555.472533568678
1996-11,27701.4297780184
1996-12,27273.94877095979
1997-01,27821.798492613805
1997-02,28771.874999999996
1997-03,28476.606560636174
1997-04,29035.861977536366
1997-05,30713.688714618303
1997-06,32036.07543315703
1997-07,32993.22151671258
1997-08,31939.16228250702
1997-09,33688.72760881783
1997-10,31067.761910594
1997-11,30499.021801172355
1997-12,31443.084991263477
1998-01,32620.758605504576
1998-02,34729.143832276925
1998-03,35751.22979722005
1998-04,35861.889852299224
1998-05,35913.7828348187
1998-06,36290.554726127
1998-07,36450.386128855636
1998-08,31525.81725614979
1998-09,31233.63851869463
1998-10,33842.72974504249
1998-11,36616.95560772981
1998-12,38095.037969834804
1999-01,39009.18234741276
1999-02,39081.62786135538
1999-03,40608.92305769517
1999-04,42350.100421856
1999-05,41108.36079445761
1999-06,43951.03352531934
1999-07,42498.79312798147
1999-08,42848.96190851367
1999-09,41319.40379098454
1999-10,43731.591881926215
1999-11,46183.68952635456
1999-12,49426.53497923057
2000-01,46666.20152350284
2000-02,47874.86221228733
2000-03,50621.72158354489
2000-04,49219.26156002623
2000-05,50301.22516942666
2000-06,51426.37470904444
2000-07,50430.97506429225
2000-08,53555.864202193996
2000-09,50044.748981261684
2000-10,49741.32712194907
2000-11,47708.67754667996
2000-12,46103.17880442796
2001-01,48285.392140334305
2001-02,44577.48313489269
2001-03,42205.89766896767
2001-04,45077.46270350116
2001-05,44984.53825544767
2001-06,44029.767588404335
2001-07,42754.133618710584
2001-08,39895.74098484084
2001-09,35982.650275086795
2001-10,37067.20739272378
2001-11,40144.492262557505
2001-12,39908.132469044554
2002-01,39774.812696584355
2002-02,39421.9727497168
2002-03,40981.12281496661
2002-04,38795.69696231672
2002-05,38589.324793307016
2002-06,34593.55865999933
2002-07,31135.827543681116
2002-08,31508.986319252544
2002-09,27725.128148376058
2002-10,29901.206691124364
2002-11,31678.479124158697
2002-12,29048.42295883246
2003-01,27561.40749715288
2003-02,28344.458589191967
2003-03,28165.0021626225
2003-04,30351.96641907053
2003-05,31221.476309588645
2003-06,31713.30520581032
2003-07,33140.028761366186
2003-08,34675.09277488576
2003-09,33008.769686380714
2003-10,34483.56508368244
2003-11,34459.83401536753
2003-12,35183.98214916218
2004-01,35451.76477099539
2004-02,35239.22916499339
2004-03,35389.96415582249
2004-04,35793.73036148652
2004-05,34883.26821905551
2004-06,36036.51524343327
2004-07,34798.882014856004
2004-08,35497.134989264436
2004-09,35966.35971234459
2004-10,36367.52784865444
2004-11,36805.18443918872
2004-12,37777.33589973004
2005-01,37887.555139948185
2005-02,38480.137239631666
2005-03,38428.77691939747
2005-04,37025.967963767274
2005-05,39637.83111687285
2005-06,40672.813828392544
2005-07,43128.92794270757
2005-08,42702.08414120595
2005-09,44506.80154721451
2005-10,43047.605088755845
2005-11,45971.25922465037
2005-12,47218.45911528448
2006-01,48170.3165604546
2006-02,48766.530004046675
2006-03,50078.983014429796
2006-04,49825.25398245066
2006-05,46112.84102619598
2006-06,47095.78396091294
2006-07,46695.982535499425
2006-08,46907.125478584065
2006-09,48440.024933667715
2006-10,49443.36990486058
2006-11,49344.19890678207
2006-12,50366.4794011699
2007-01,51091.305730294014
2007-02,50634.920375658454
2007-03,51724.57658867089
2007-04,53134.95829966666
2007-05,55167.842133196515
2007-06,54325.90406906268
2007-07,52720.30931391883
2007-08,52912.77221449479
2007-09,55404.39732831448
2007-10,56549.52149101975
2007-11,54231.34767931279
2007-12,55206.34942710145
2008-01,51171.54248123828
2008-02,51512.98516527546
2008-03,50656.588275865375
2008-04,54069.775572799415
2008-05,54800.3464157481
2008-06,49895.19038872982
2008-07,48887.15869723038
2008-08,51731.254623370856
2008-09,45802.295876111115
2008-10,41012.72365434777
2008-11,40534.981412898516
2008-12,44108.071847397965
2009-01,41305.606481656105
2009-02,37594.09756368041
2009-03,40312.907056363794
2009-04,43401.3025710425
2009-05,43958.3443899886
2009-06,42578.814173824874
2009-07,46519.04552866325
2009-08,49186.70724150454
2009-09,51745.849644864196
2009-10,49553.95636852623
2009-11,51860.674995863636
2009-12,53797.183604496524
2010-01,51816.118890362835
